epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,1.800303,0.686867,1.68873,0.63100,
002,1.230971,0.445844,1.15328,0.40280,
003,0.942560,0.332667,0.98522,0.34380,
004,0.776819,0.269622,1.20507,0.38360,
005,0.691413,0.238267,0.80355,0.28340,
006,0.622220,0.214822,0.93449,0.31320,
007,0.582129,0.201333,0.66092,0.22540,
008,0.540610,0.185933,0.64174,0.21880,
009,0.515612,0.176956,0.63432,0.21880,
010,0.493184,0.169622,0.62188,0.20460,
011,0.474807,0.163333,0.60614,0.20860,
012,0.456790,0.160000,0.62903,0.20860,
013,0.443599,0.153689,0.49237,0.16960,
014,0.313217,0.108222,0.32491,0.11500,
015,0.276564,0.096800,0.31182,0.11060,
016,0.257866,0.090644,0.32925,0.11060,
017,0.246757,0.086444,0.32174,0.10720,
018,0.238884,0.083556,0.30798,0.10200,
019,0.232492,0.081022,0.30253,0.10300,
020,0.213040,0.073822,0.28912,0.09520,
021,0.203981,0.070422,0.29921,0.09960,
022,0.205542,0.071000,0.29008,0.09820,
023,0.200537,0.068689,0.29187,0.09680,
024,0.200284,0.068911,0.29717,0.09860,
025,0.199397,0.069311,0.29735,0.10040,
,,,,,0.10940
